SK_ID_CURR,TARGET,TARGET_1_PROBA,PAYMENT_RATE,EXT_SOURCE_3,EXT_SOURCE_1,EXT_SOURCE_2,DAYS_BIRTH,INSTAL_AMT_PAYMENT_SUM,CLOSED_AMT_CREDIT_SUM_MEAN,APPROVED_DAYS_DECISION_MAX,PREV_APP_CREDIT_PERC_VAR,AMT_ANNUITY,INSTAL_DAYS_ENTRY_PAYMENT_MAX,ACTIVE_AMT_CREDIT_SUM_SUM,DAYS_EMPLOYED,DAYS_REGISTRATION,ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,AMT_GOODS_PRICE,DAYS_EMPLOYED_PERC,PREV_APP_CREDIT_PERC_MEAN,CLOSED_DAYS_CREDIT_MAX,INSTAL_AMT_PAYMENT_MIN,PREV_CNT_PAYMENT_MEAN,REGION_POPULATION_RELATIVE,ANNUITY_INCOME_PERC,DAYS_ID_PUBLISH,INSTAL_DAYS_ENTRY_PAYMENT_SUM,ACTIVE_DAYS_CREDIT_MAX,CLOSED_DAYS_CREDIT_ENDDATE_MAX,INSTAL_DPD_MEAN,INSTAL_AMT_INSTALMENT_MAX,DAYS_LAST_PHONE_CHANGE,APPROVED_CNT_PAYMENT_MEAN,BURO_DAYS_CREDIT_MAX,AMT_CREDIT,ACTIVE_DAYS_CREDIT_ENDDATE_MIN,BURO_DAYS_CREDIT_ENDDATE_MEAN,ACTIVE_DAYS_CREDIT_UPDATE_MEAN,CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,INCOME_CREDIT_PERC,PREV_APP_CREDIT_PERC_MIN,INSTAL_PAYMENT_DIFF_MEAN,INSTAL_DBD_MEAN,INSTAL_DBD_MAX,BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,INSTAL_DBD_SUM,POS_MONTHS_BALANCE_SIZE,OWN_CAR_AGE,BURO_DAYS_CREDIT_ENDDATE_MAX,ACTIVE_DAYS_CREDIT_ENDDATE_MAX,CODE_GENDER
100001.0,0.0,0.252307419643778,0.0361471518987341,0.1595195404777181,0.7526144906031748,0.7896543511176771,-19241.0,41195.925,142335.0,-1740.0,0.009789675043229876,20560.5,-1628.0,884025.0,-2329.0,-5170.0,198895.5,450000.0,0.1210436048022452,1.0440786984487325,-857.0,3951.0,8.0,0.01885,0.1523,-812.0,-15365.0,-49.0,-179.0,1.5714285714285714,17397.9,-1740.0,8.0,-49.0,568800.0,411.0,82.42857142857143,-10.666666666666666,0.26013698630136983,0.2373417721518987,1.0440786984487325,0.0,8.857142857142858,36.0,0.0,1030.3333333333333,62.0,9.0,9.0,1778.0,1778.0,1.0
100002.0,1.0,1.0,0.06074926678103038,0.1393757800997895,0.0830369673913225,0.2629485927471776,-9461.0,219625.695,63844.5,-606.0,0.009789675043229876,24700.5,-49.0,481988.565,-637.0,-3648.0,122890.5,351000.0,0.0673290349857309,1.0,-476.0,9251.775,24.0,0.018801,0.12197777777777778,-2120.0,-5993.0,-103.0,85.0,0.0,53093.745,-1134.0,24.0,-103.0,406597.5,780.0,-349.0,-15.5,0.26013698630136983,0.4980355265342261,1.0,0.0,20.42105263157895,31.0,1681.029,780.0,388.0,19.0,9.0,780.0,780.0,0.0
100003.0,0.0,0.0,0.027598323157473605,0.5334816299804352,0.3112673113812225,0.6222457752555098,-16765.0,1618864.65,69133.5,-746.0,0.005324156108065345,35698.5,-544.0,810000.0,-1188.0,-1186.0,0.0,1129500.0,0.07086191470325082,0.949329315178998,-775.0,6662.97,10.0,0.0035409999999999,0.13221666666666668,-291.0,-34633.0,-606.0,-420.0,0.0,560835.36,-828.0,10.0,-606.0,1293502.5,1216.0,-544.5,-43.0,0.26013698630136983,0.20873558419871627,0.8688248275382717,0.0,7.16,14.0,0.0,1216.0,179.0,28.0,9.0,1216.0,1216.0,1.0
100004.0,0.0,0.0,0.05,0.7295666907060153,0.5061548086628039,0.5559120833904428,-19046.0,21288.465,94518.9,-815.0,0.009789675043229876,6750.0,-727.0,660604.5,-225.0,-4260.0,150369.0,135000.0,0.011813504147852568,1.207699194270367,-408.0,5357.25,4.0,0.010032,0.1,-2531.0,-2285.0,-264.0,-382.0,0.0,10573.965,-815.0,4.0,-408.0,135000.0,257.0,-488.5,-30.0,0.26013698630136983,0.5,1.207699194270367,0.0,7.666666666666667,11.0,0.0,724.0,23.0,4.0,26.0,-382.0,1057.0,0.0
100005.0,0.0,0.4648344934426279,0.0779734970911441,0.4329616670974407,0.5649902017969249,0.2916555320093651,-18064.0,56161.845,58500.0,-757.0,0.009789675043229876,17370.0,-470.0,598626.0,-4469.0,-9118.0,284204.25,180000.0,0.2473981399468556,1.111173372184243,-373.0,4813.2,12.0,0.035792,0.1754545454545454,-1623.0,-5486.0,-62.0,-128.0,0.1111111111111111,17656.245,0.0,12.0,-62.0,222768.0,122.0,439.3333333333333,-21.0,0.26013698630136983,0.4444085326438267,1.111173372184243,0.0,23.666666666666668,37.0,0.0,723.0,213.0,11.0,9.0,1324.0,1324.0,0.0
100006.0,0.0,0.0,0.09494135424911851,0.5334816299804352,0.5061548086628039,0.6504416904014653,-19005.0,1007153.415,126188.91,-181.0,0.027040696983879776,29686.5,-12.0,660604.5,-3039.0,-9833.0,150369.0,297000.0,0.15990528808208365,1.0107628093387502,-727.0,2482.92,23.0,0.008019,0.2199,-2437.0,-4346.0,-264.0,-207.0,0.0,691786.89,-617.0,18.0,-305.0,312682.5,257.0,-131.7888888888889,-30.0,0.26013698630136983,0.4317478592501979,0.7594182756737976,0.0,19.375,77.0,0.0,724.0,310.0,21.0,9.0,912.0,1057.0,1.0
100007.0,0.0,0.0,0.04262280701754386,0.5334816299804352,0.5061548086628039,0.3227382869704046,-19932.0,806127.975,146250.0,-374.0,0.016456382331132564,21865.5,-14.0,660604.5,-3038.0,-4311.0,150369.0,513000.0,0.1524182219546458,0.9696497277765476,-1149.0,0.18,20.666666666666668,0.028663,0.17996296296296296,-3458.0,-68128.0,-264.0,-783.0,0.9545454545454546,22678.785,-1106.0,20.666666666666668,-1149.0,513000.0,257.0,-783.0,-30.0,0.26013698630136983,0.23684210526315788,0.7911392405063291,452.38431818181823,4.590909090909091,31.0,0.0,724.0,303.0,66.0,9.0,-783.0,1057.0,0.0
100008.0,0.0,0.0,0.05610143212323049,0.6212263380626669,0.5061548086628039,0.3542247319929012,-16941.0,957617.595,100419.75,-370.0,0.010713048144511739,27517.5,-82.0,267606.0,-1588.0,-4970.0,240057.0,454500.0,0.09373708753910631,1.0300488484384642,-1097.0,227.16,14.0,0.035792,0.27795454545454545,-477.0,-43323.0,-78.0,-792.0,37.628571428571426,432218.295,-2536.0,14.0,-78.0,490495.5,471.0,-391.3333333333333,-16.0,0.26013698630136983,0.20183671409829448,0.8964589870013447,342.46157142857146,11.514285714285714,28.0,0.0,471.0,403.0,83.0,9.0,471.0,471.0,0.0
100009.0,0.0,0.0,0.0264626846736711,0.4920600938649263,0.7747614130547695,0.7239998516953141,-13778.0,487995.12,233803.60714285713,-74.0,0.005246813716515097,41301.0,-58.0,1527561.0,-3130.0,-1213.0,269337.375,1395000.0,0.2271737552620119,1.0954823194633418,-684.0,6155.28,8.0,0.035792,0.24152631578947367,-619.0,-44085.0,-239.0,1044.0,0.13725490196078433,17341.605,-1562.0,8.0,-239.0,1560726.0,-209.0,-794.9375,-245.75,0.26013698630136983,0.10956439503154301,1.0,0.0,8.72549019607843,23.0,0.0,596.5,445.0,64.0,17.0,1402.0,1402.0,1.0
100010.0,0.0,0.0,0.0275,0.5406544504453575,0.5061548086628039,0.7142792864482229,-18850.0,274492.08,315000.0,-1070.0,0.009789675043229876,42075.0,-774.0,675000.0,-449.0,-4597.0,348007.5,1530000.0,0.023819628647214854,0.9478587942993202,-2741.0,27321.39,10.0,0.0031219999999999,0.116875,-2379.0,-9159.0,-1138.0,-928.0,0.0,27463.41,-1070.0,10.0,-1138.0,1530000.0,689.0,-119.5,-18.0,0.26013698630136983,0.23529411764705882,0.9478587942993202,0.0,11.9,30.0,0.0,689.0,119.0,11.0,8.0,689.0,689.0,0.0
